,City,Country,Lat,Lng,Hotel Name
0,Port Hawkesbury,CA,45.62,-61.35,Maritime Inn Port Hawkesbury
1,Bathsheba,BB,13.22,-59.52,Atlantis Hotel
2,Ponta do Sol,PT,32.67,-17.1,Morning Star Villa Madeira
3,Berlevåg,NO,70.86,29.09,Berlevåg camping & Appartement AS
4,Östersund,SE,63.18,14.64,Leopold Bed & Breakfast
5,Flinders,AU,-34.58,150.86,Lakeview Hotel Motel
6,Lorengau,PG,-2.02,147.27,Lorengau Harbourside Hotel
7,Albany,US,42.6,-73.97,
8,Castro,BR,-24.79,-50.01,Hotel Buganville Express
9,Butaritari,KI,3.07,172.79,
10,Oranjemund,,-28.55,16.43,Oryx Guesthouse Oranjemund
11,Rikitea,PF,-23.12,-134.97,Pension Maro'i
12,Punta Arenas,CL,-53.15,-70.92,Hotel Cabo de Hornos
13,Saint-Philippe,RE,-21.36,55.77,Les Embruns Du Baril
14,Ushuaia,AR,-54.8,-68.3,Hotel Ushuaia
15,Mataura,NZ,-46.19,168.86,Southland Organic Farmstay
16,Pacific Grove,US,36.62,-121.92,Lighthouse Lodge & Cottages
17,Departamento de Maldonado,UY,-34.67,-54.92,
18,Port Alfred,ZA,-33.59,26.89,Royal St Andrews Hotel
19,Nemuro,JP,43.32,145.57,Nemuro Grand Hotel
20,Avera,US,33.19,-82.53,
21,Krishnanagar,IN,23.4,88.5,HOTEL HAVELI
22,Klaksvík,FO,62.23,-6.59,Eysturland Lodge
23,Hermanus,ZA,-34.42,19.23,Misty Waves Boutique Hotel
24,Lebu,CL,-37.62,-73.65,Hotel Plaza Lebu
25,Mount Gambier,AU,-37.83,140.77,Commodore on the Park
26,Nikolskoye,RU,59.7,30.79,
27,Cape Town,ZA,-33.93,18.42,Atlanticview Cape Town Boutique Hotel
28,Esperance,AU,-33.87,121.9,Esperance Chalet Village
29,Provideniya,RU,64.38,-173.3,
30,Qaanaaq,GL,77.48,-69.36,Qaanaaq Hotel
31,Ketchikan,US,55.34,-131.65,Edgewater Inn Restaurant & Marina
32,Tbilisskaya,RU,45.36,40.19,Green House
33,Salinópolis,BR,-0.61,-47.36,Hotel Concha do Mar
34,Saint Anthony,US,45.02,-93.22,Hewing Hotel
35,Kilindoni,TZ,-7.91,39.67,Butiama Beach Hotel
36,Raudeberg,NO,61.99,5.14,Ulvesund FYR
37,Port Elizabeth,ZA,-33.92,25.57,Island Way Villa
38,Touros,BR,-5.2,-35.46,Hotel Vila Gale Touros
39,Henderson,US,36.04,-114.98,
40,Pemberton,CA,50.32,-122.8,Pemberton Valley Lodge
41,New Norfolk,AU,-42.78,147.06,Tynwald Willow Bend Estate
42,Bredasdorp,ZA,-34.53,20.04,De Hoop Collection
43,Saldanha,ZA,-33.01,17.94,Protea Hotel by Marriott Saldanha Bay
44,Bluff,NZ,-46.6,168.33,Land's End Boutique Hotel
45,Bethel,US,41.37,-73.41,Hampton Inn Danbury
46,Khatanga,RU,71.97,102.5,
47,Cherskiy,RU,68.75,161.3,
48,Young,UY,-32.68,-57.63,Hotel Young
49,Lowicz,PL,52.11,19.95,Hotel Eco
50,Evensk,RU,61.95,159.23,
51,Tuatapere,NZ,-46.13,167.68,Last Light Lodge
52,Pangnirtung,CA,66.15,-65.71,Pangnirtung Fjordview Bed and Breakfast
53,Poum,NC,-20.23,164.02,
54,Khasan,RU,42.43,130.64,
55,Itoman,JP,26.12,127.67,Southern Beach Hotel & Resort Okinawa
56,Busselton,AU,-33.65,115.33,The Sebel Busselton
57,Hobart,AU,-42.88,147.33,The Henry Jones Art Hotel
58,Esim,GH,4.87,-2.24,Lou Moon Resort - Eco Luxury
59,Jamestown,US,42.1,-79.24,Chautauqua Harbor Hotel
60,Lakatoro,VU,-16.1,167.42,Lakatoro Palm Lodge
61,Harsīn,IR,34.27,47.59,
62,Husavik,IS,66.04,-17.34,Fosshotel Húsavík
63,Mataram,ID,-8.58,116.12,Lombok Astoria - Hotel
64,Pisco,PE,-13.7,-76.22,Embassy Beach
65,Salalah,OM,17.02,54.09,BAITI Hotel Apartments
66,Pitkyaranta,RU,61.57,31.48,White Bridges
67,Mar del Plata,AR,-38.0,-57.56,Hotel Sirenuse
68,Florø,NO,61.6,5.03,Comfort Hotel Florø
69,Tuktoyaktuk,CA,69.45,-133.04,Hunter's B&B
70,Hithadhoo,MV,-0.6,73.08,Pebbles Inn
71,Rypin,PL,53.07,19.41,HOTEL - Restauracja Modrzewiowa
72,Amnat Charoen,TH,15.92,104.75,
73,Khovd,MN,48.01,91.64,Steppe hotel
74,São Filipe,CV,14.9,-24.5,Hotel Ocean View & Restaurante Seafood
75,Anadyr,RU,64.75,177.48,Chukotka hotel
76,Sanming,CN,26.25,117.62,Plum Garden International Hotel
77,Srandakan,ID,-7.94,110.25,
78,Kwekwe,ZW,-18.93,29.81,EAGLESVIEW GUEST LODGE/HOTEL
79,Norman Wells,CA,65.28,-126.83,Heritage Hotel
80,Progreso,MX,21.28,-89.67,Hotel Progreso Beach
81,Fort Nelson,CA,58.81,-122.7,Woodlands Inn & Suites
82,Chuzhou,CN,32.32,118.3,Wyndham Grand Plaza Royale Kaidi
83,Paamiut,GL,61.99,-49.67,Hotel Ivaana
84,Yeppoon,AU,-23.13,150.73,Yeppoon Beach House
85,Caernarfon,GB,53.14,-4.27,Plas Dinas Country House
86,Mīnāb,IR,27.15,57.08,Minab Tourism Hotel
