,City,Lat,Lng,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country
0,Port Hawkesbury,45.62,-61.35,46.99,75,1,4.7,CA
1,Bathsheba,13.22,-59.52,84.2,70,20,26.4,BB
2,Ponta do Sol,32.67,-17.1,66.2,63,40,5.82,PT
3,Berlevåg,70.86,29.09,39.2,86,75,31.09,NO
4,Östersund,63.18,14.64,32.0,95,20,11.41,SE
5,Flinders,-34.58,150.86,68.0,94,99,4.0,AU
6,Lorengau,-2.02,147.27,82.69,67,29,3.51,PG
7,Albany,42.6,-73.97,72.0,71,83,1.99,US
8,Castro,-24.79,-50.01,66.67,87,43,7.25,BR
9,Butaritari,3.07,172.79,82.18,73,100,13.18,KI
10,Oranjemund,-28.55,16.43,59.7,83,0,0.63,NA
11,Rikitea,-23.12,-134.97,74.68,77,60,7.9,PF
12,Punta Arenas,-53.15,-70.92,46.4,65,75,6.93,CL
13,Saint-Philippe,-21.36,55.77,73.4,73,75,6.93,RE
14,Ushuaia,-54.8,-68.3,44.6,65,75,9.17,AR
15,Mataura,-46.19,168.86,63.0,63,60,8.99,NZ
16,Pacific Grove,36.62,-121.92,69.8,56,1,8.05,US
17,Departamento de Maldonado,-34.67,-54.92,69.8,83,20,4.7,UY
18,Port Alfred,-33.59,26.89,68.45,80,64,18.37,ZA
19,Nemuro,43.32,145.57,53.44,74,0,20.76,JP
20,Avera,33.19,-82.53,82.4,58,75,6.93,US
21,Krishnanagar,23.4,88.5,74.82,92,100,8.23,IN
22,Klaksvík,62.23,-6.59,42.8,93,4,4.7,FO
23,Hermanus,-34.42,19.23,64.0,89,43,7.61,ZA
24,Lebu,-37.62,-73.65,54.59,78,100,1.36,CL
25,Mount Gambier,-37.83,140.77,51.8,76,90,14.99,AU
26,Nikolskoye,59.7,30.79,41.0,75,75,13.42,RU
27,Cape Town,-33.93,18.42,61.0,87,0,8.05,ZA
28,Esperance,-33.87,121.9,53.6,100,90,3.36,AU
29,Provideniya,64.38,-173.3,34.21,89,100,13.24,RU
30,Qaanaaq,77.48,-69.36,19.35,92,98,7.94,GL
31,Ketchikan,55.34,-131.65,44.6,33,1,5.82,US
32,Tbilisskaya,45.36,40.19,57.0,72,0,4.63,RU
33,Salinópolis,-0.61,-47.36,79.66,80,36,11.63,BR
34,Saint Anthony,45.02,-93.22,36.0,69,90,13.87,US
35,Kilindoni,-7.91,39.67,79.54,81,82,10.74,TZ
36,Raudeberg,61.99,5.14,45.0,70,100,10.96,NO
37,Port Elizabeth,-33.92,25.57,68.0,88,45,16.11,ZA
38,Touros,-5.2,-35.46,77.0,94,40,5.82,BR
39,Henderson,36.04,-114.98,75.99,14,1,6.93,US
40,Pemberton,50.32,-122.8,37.0,63,90,4.05,CA
41,New Norfolk,-42.78,147.06,55.0,68,100,5.23,AU
42,Bredasdorp,-34.53,20.04,64.4,93,29,1.36,ZA
43,Saldanha,-33.01,17.94,59.0,82,9,4.7,ZA
44,Bluff,-46.6,168.33,63.0,63,94,7.0,NZ
45,Bethel,41.37,-73.41,63.0,97,91,4.76,US
46,Khatanga,71.97,102.5,10.85,96,100,9.86,RU
47,Cherskiy,68.75,161.3,16.03,94,35,3.31,RU
48,Young,-32.68,-57.63,72.48,91,48,6.62,UY
49,Lowicz,52.11,19.95,55.0,99,100,6.87,PL
50,Evensk,61.95,159.23,30.88,93,35,4.18,RU
51,Tuatapere,-46.13,167.68,63.0,63,98,7.0,NZ
52,Pangnirtung,66.15,-65.71,26.6,100,90,2.33,CA
53,Poum,-20.23,164.02,77.92,77,0,15.86,NC
54,Khasan,42.43,130.64,38.43,69,0,26.08,RU
55,Itoman,26.12,127.67,71.6,64,75,20.8,JP
56,Busselton,-33.65,115.33,53.01,47,0,11.01,AU
57,Hobart,-42.88,147.33,55.0,71,75,6.93,AU
58,Esim,4.87,-2.24,77.65,89,48,6.53,GH
59,Jamestown,42.1,-79.24,75.99,47,40,14.99,US
60,Lakatoro,-16.1,167.42,80.6,78,75,8.05,VU
61,Harsīn,34.27,47.59,48.2,100,0,4.7,IR
62,Husavik,66.04,-17.34,42.8,75,75,6.93,IS
63,Mataram,-8.58,116.12,75.2,100,75,7.92,ID
64,Pisco,-13.7,-76.22,66.2,72,0,24.16,PE
65,Salalah,17.02,54.09,75.2,44,0,2.24,OM
66,Pitkyaranta,61.57,31.48,36.14,83,100,15.5,RU
67,Mar del Plata,-38.0,-57.56,60.8,87,40,8.05,AR
